Id,Title,Excerpt,Description,Synonyms,Variations,Categories,Abbreviation,Tags,Image,_cmtt_highlightFirstOnly,_cmtt_disable_acf_for_page,_cmtt_new_page_exception,_cmtt_exclude_parsing,_cmtt_exclude_tooltip,_cmtt_disable_related_articles_for_term,_cmtt_hide_from_index,_cmtt_exclude_google_api,_cmtt_exclude_merriam_api,_cmtt_exclude_merriam_thesaurus_api,_cmtt_exclude_glosbe_dictionary_api,_cmtt_featured_image_position,_cmtt_featured_image_size,_cmtt_term_icon,_cmtt_term_icon_color,_cmtt_term_icon_position
15490,List,"A deck.
","<span style=""font-weight: 400;"">A deck.</span>",lists,,gwent,,,,0,0,0,0,0,0,0,0,0,0,0,,"  666px",,0,left
15492,Low-roll,"Opposite of high-roll. A term used to describe a worse than expected outcome in the resolution of a random event in the game...","<span style=""font-weight: 400;"">Opposite of high-roll. A term used to describe a worse than expected outcome in the resolution of a random event in the game.</span>

<strong><span style=""text-decoration: underline;"">Example</span></strong><span style=""font-weight: 400;"">: Imagine you play a Delirium card that deals 6 damage randomly split between all enemies on an enemy row. There are 8 units on that row. Assume that your preferred outcome is that you hit 6 distinct units. If you hit one single unit out of 8, 6 times back to back, you will have low-rolled.&nbsp;</span>",,"Low roll, low rolling, low-rolling",gwent,,,,0,0,0,0,0,0,0,0,0,0,0,,"  666px",,0,left
15494,Matchup,"How well a deck performs against another one...","<span style=""font-weight: 400;"">How well a deck performs against another one.</span>

<strong><span style=""text-decoration: underline;"">Example</span></strong><span style=""font-weight: 400;"">: The ‘X’ matchup for the deck ‘Y’ is pretty favorable.</span>",,"Match up, Match-up, Matchups, Match ups, Match-ups",gwent,MU,,,0,0,0,0,0,0,0,0,0,0,0,,"  666px",,0,left
15496,Meta,"A term that describes something that is effective or prevalent at the time...","<span style=""font-weight: 400;"">A term that describes something that is effective or prevalent at the time.</span>

<span style=""text-decoration: underline;""><strong>Example</strong></span><span style=""font-weight: 400;"">: A meta deck, a meta card.</span>",,,gwent,,,,0,0,0,0,0,0,0,0,0,0,0,,"  666px",,0,left
15498,"Mill (Archetype)","A rare (and often regarded as obnoxious) archetype of decks (which is almost exclusive to Nilfgaard in Gwent) that revolves around forcing the opponent’s cards out of their deck by any means possible so that they will have no cards left in their deck by the start of the third round...","<span style=""font-weight: 400;"">A rare (and often regarded as obnoxious) archetype of decks (which is almost exclusive to Nilfgaard in Gwent) that revolves around forcing the opponent’s cards out of their deck by any means possible so that they will have no cards left in their deck by the start of the third round so that some cards with drawbacks tied to your opponents deck (such as ""Vilgefortz"" or ""Tibor Eggebracht"") can be played for full value. Also see ""Mill"".</span>",,"Milling your opponent, Mills your opponent, mill your opponent, milled your opponent",gwent,,,,0,0,0,0,0,0,0,0,0,0,0,,"   666px",,0,left
15500,Mill,"Trading a card in your collection for resources...","<span style=""font-weight: 400;"">Trading a card in your collection for resources. Also see ""Mill (Archetype)"".</span>",,"Milling, milled",gwent,,,,0,0,0,0,0,0,0,0,0,0,0,,"     666px",,0,left
15502,Mirror,"The matchup of a deck against itself.","<span style=""font-weight: 400;"">The matchup of a deck against itself.</span>",mirrors,,gwent,,,,0,0,0,0,0,0,0,0,0,0,0,,"  666px",,0,left
15504,MMR,"Short for “MatchMaking Rating”. Your place on the leaderboards is decided by your MMR. Your MMR is the combined score of your 4 highest fMMRs...","<span style=""font-weight: 400;"">Short for “MatchMaking Rating”. Your place on the leaderboards is decided by your MMR. Your MMR is the combined score of your 4 highest fMMRs. For more information refer to the in-game legacy or our Ranked mode guide.</span>",,,gwent,,,,0,0,0,0,0,0,0,0,0,0,0,,"  666px",,0,left
15506,MO,"Short for “Monsters”.","<span style=""font-weight: 400;"">Short for “Monsters”.</span>",,,gwent,,,,0,0,0,0,0,0,0,0,0,0,0,," 666px",,0,left
15508,Mulligan,"The act of replacing some of the cards in your hand with fresh draws from the deck and then shuffling the old cards back into the deck...","<span style=""font-weight: 400;"">The act of replacing some of the cards in your hand with fresh draws from the deck and then shuffling the old cards back into the deck. Mulligans do not have to be necessarily taken. Usually done when your current hand quality is not satisfactory and you’re hoping to draw better cards.</span>",,"Mulligans, Mulligan Fodder, Mulliganning, Mulliganing",gwent,,,,0,0,0,0,0,0,0,0,0,0,0,,"  666px",,0,left
15510,Netdecking,"Copying decks from the internet rather than making them yourself. Speaking of which, make sure to check out our newest meta report!
","<span style=""font-weight: 400;"">Copying decks from the internet rather than making them yourself. Speaking of which, make sure to check out our newest meta report!</span>",,"Net-deck, net deck, netdeck, netdecks",gwent,,,,0,0,0,0,0,0,0,0,0,0,0,," 666px",,0,left
15512,NG,"Short for “Nilfgaard”.","<span style=""font-weight: 400;"">Short for “Nilfgaard”.</span>",,,gwent,,,,0,0,0,0,0,0,0,0,0,0,0,," 666px",,0,left
15514,NR,"Short for “Northern Realms”.
","<span style=""font-weight: 400;"">Short for “Northern Realms”.</span>",,,gwent,,,,0,0,0,0,0,0,0,0,0,0,0,," 666px",,0,left
15516,OP,"Short for “Overpowered”. A term loosely attributed to decks (or factions) that feel unfair to play against because they are seemingly much better than everything else.","<span style=""font-weight: 400;"">Short for “Overpowered”. A term loosely attributed to decks (or factions) that feel unfair to play against because they are seemingly much better than everything else.</span>",Overpowered,Overpowered,gwent,,,,0,0,0,0,0,0,0,0,0,0,0,," 666px",,0,left
15518,Package,"A package refers to several cards that serve a particular purpose which is included in a deck to further assist that deck with executing its game plan...","(of cards) <span style=""font-weight: 400;"">A package refers to several cards that serve a particular purpose which is included in a deck to further assist that deck with executing its game plan.</span>

<strong><span style=""text-decoration: underline;"">Example</span></strong><span style=""font-weight: 400;"">: A “Poison Package” contains a couple of cards that can apply the “Poison” status to a unit. This package can come in handy in the ‘X’ deck.</span>",,Packages,gwent,,,,0,0,0,0,0,0,0,0,0,0,0,,"   666px",,0,left
15520,Pile,"A slang term loosely attributed to a (bad) deck.","<span style=""font-weight: 400;"">A slang term loosely attributed to a (bad) deck.</span>",,Piles,gwent,,,,0,0,0,0,0,0,0,0,0,0,0,,"  666px",,0,left
15522,Proc,"A term used to describe when an effect is triggered, be it randomly or when a certain condition is met...","<span style=""font-weight: 400;"">A term used to describe when an effect is triggered, be it randomly or when a certain condition is met.</span>

<strong><span style=""text-decoration: underline;"">Example</span></strong><span style=""font-weight: 400;"">: </span><b>Proccing</b><span style=""font-weight: 400;""> a Scenario card would mean progressing it to the next chapter.</span>

<strong><span style=""text-decoration: underline;"">Example 2</span></strong><span style=""font-weight: 400;"">: If you have four 1-power units on board with the “Thrive” tag and you now play a unit with, say, 3 power, you will </span><b>proc</b><span style=""font-weight: 400;""> the “Thrive” on all four of those 1-power units.</span>",,"Procing, Proccing, Procs, Procced",gwent,,,,0,0,0,0,0,0,0,0,0,0,0,,"   666px",,0,left
15524,Reach,"To have the reach in a round is to have the ability to catch up with the current point difference between two sides without giving your opponent card advantage.
","<span style=""font-weight: 400;"">To have the reach in a round is to have the ability to catch up with the current point difference between two sides without giving your opponent card advantage.</span>",,,gwent,,,,0,0,0,0,0,0,0,0,0,0,0,," 666px",,0,left
15526,"Red Coin","Refers to being the second person to act when the match starts...","<span style=""font-weight: 400;"">Refers to being the second person to act when the match starts. During the beta phase of the game, acting first or second was respectively signified with a blue or a red coin, hence the expression.</span>",,,gwent,,,,0,0,0,0,0,0,0,0,0,0,0,,"  666px",,0,left
15529,"Red Coin Abuse","A term that refers to playing extremely high tempo on Red Coin with the intent of winning on even. Otherwise could refer to looking to play weaker cards while still threatening to win the round with enough reach or forcing the opponent to trade-down with their good cards.","<span style=""font-weight: 400;"">A term that refers to playing extremely high tempo on Red Coin with the intent of winning on even.</span>

<span style=""font-weight: 400;"">Otherwise refers to playing your weak cards, while still threatening to win the round with enough reach, or forcing the opponent to trade-down with their good cards.</span>",,"Coin Abuse, Abusing Coin-flip, Abusing Coin Flip, Abusing Red Coin",gwent,,,,0,0,0,0,0,0,0,0,0,0,0,,"  666px",,0,left
15531,RNG,"Short for “Random Number Generator” but usually describes any random event or its resolution in the game. It can also be loosely translated into “luck” depending on the context...","<span style=""font-weight: 400;"">Short for “Random Number Generator” but usually describes any random event or its resolution in the game. It can also be loosely translated into “luck” depending on the context.</span>

<strong><span style=""text-decoration: underline;"">Example</span></strong><span style=""font-weight: 400;"">: Good/Bad RNG means Good/Bad luck.</span>",,,gwent,,,,0,0,0,0,0,0,0,0,0,0,0,,"  666px",,0,left
15533,Roping,"Playing slowly every turn to the point where an indicator is shown to remind you of the remaining time.
","<span style=""font-weight: 400;"">Playing slowly every turn to the point where an indicator is shown to remind you of the remaining time.</span>",,Rope,gwent,,,,0,0,0,0,0,0,0,0,0,0,0,," 666px",,0,left
15535,"Round Control","Having control over the length of the final round...","<span style=""font-weight: 400;"">Having control over the length of the final round. Whichever player wins the first round gains “Round Control”, i.e, they can dictate whether the final round is going to be as long as, or as short as possible by deciding whether or not they want to dry-pass or bleed in the second round.</span>",,,gwent,,,,0,0,0,0,0,0,0,0,0,0,0,,"  666px",,0,left
15537,"Row punish","A term that describes cards that punish row-stacking...","<b>&nbsp;</b><span style=""font-weight: 400;"">A term that describes cards that punish row-stacking.</span>

<strong><span style=""text-decoration: underline;"">Example</span></strong><span style=""font-weight: 400;"">: Geralt: Igni or Geralt: Yrden, Lacerate, Surrender, Hemdall.</span>",,,gwent,,,,0,0,0,0,0,0,0,0,0,0,0,,"  666px",,0,left
15539,Row-stacking,"Playing a lot of units on the same row...","<span style=""font-weight: 400;"">Playing a lot of units on the same row. Bad against row punish and good for row pay-off cards (see “Yaevinn” or “The Great Oak” for example). Row-stacking is generally not advised if you gain nothing by doing it.</span>","Row-stacked, Row-stack, Row-stacks","Row stacking",gwent,,,,0,0,0,0,0,0,0,0,0,0,0,,"     666px",,0,left
15542,SK,"Short for “Skellige”.","<span style=""font-weight: 400;"">Short for “Skellige”.</span>",,,gwent,,,,0,0,0,0,0,0,0,0,0,0,0,," 666px",,0,left
15544,ST,"Short for “Scoia’tael”.","<span style=""font-weight: 400;"">Short for “Scoia’tael”.</span>",,,gwent,,,,0,0,0,0,0,0,0,0,0,0,0,," 666px",,0,left
15546,"Stay Ahead (Tempo Out)","A term that means being able to stay ahead in points while having as many cards as your opponent...","<span style=""font-weight: 400;"">A term that means being able to stay ahead in points while having as many cards as your opponent. Usually relevant in the first and the second rounds.</span>

<strong><span style=""text-decoration: underline;"">Example</span></strong><span style=""font-weight: 400;"">: Suppose you are behind 7 points right now. Your opponent has 5 cards and you have 6. If you play a card that results in a swing of 8 or more points, you will have tempo-ed out/stayed ahead.</span>",,"Stay ahead, tempo out",gwent,,,,0,0,0,0,0,0,0,0,0,0,0,,"  666px",,0,left
15548,SY,"Short for “Syndicate”.","<span style=""font-weight: 400;"">Short for “Syndicate”.</span>",,,gwent,,,,0,0,0,0,0,0,0,0,0,0,0,," 666px",,0,left
15550,Synergy,"How well two (or more) cards work together in cohesion...","<span style=""font-weight: 400;"">How well two (or more) cards work together in cohesion. A deck is generally considered good if it contains good synergy between its cards.</span>

<span style=""text-decoration: underline;""><strong>Example</strong></span><span style=""font-weight: 400;"">: “Anna Strenger” has a very strong synergy with “Tridam Infantry”.</span>",,"Synergize, Synergise, Synergies",gwent,,,,0,0,0,0,0,0,0,0,0,0,0,,"  666px",,0,left
15555,Tempo,"The pace at which a play is made...","<span style=""font-weight: 400;"">The pace at which a play is made. A high tempo play is a play that results in a massive point swing while a low tempo play is a slow play. Otherwise, this term can also be loosely translated into “points”. Also, see “Stay Ahead (Tempo Out)”.</span>

<strong><span style=""text-decoration: underline;"">Example</span></strong><span style=""font-weight: 400;"">: If someone were to say “this card is worth a lot of tempo” that would mean “this card is worth a lot of points” or ""this card has a lot of value"".</span>",,,gwent,,,,0,0,0,0,0,0,0,0,0,0,0,,"  666px",,0,left
